CELL_LINE_NAME	DRUG_NAME	MAX_CONC	LN_IC50
SR	Camptothecin	0.1	-5.487077
NCI-H322M	Camptothecin	0.1	-1.322585
IGROV-1	Camptothecin	0.1	-2.717918
OVCAR-5	Camptothecin	0.1	0.809877
EKVX	Camptothecin	0.1	1.548754
HOP-62	Camptothecin	0.1	-2.544042
HOP-92	Camptothecin	0.1	-1.411598
LOXIMVI	Camptothecin	0.1	-3.285912
M14	Camptothecin	0.1	-2.95937
UACC-62	Camptothecin	0.1	-3.641147
UACC-257	Camptothecin	0.1	0.832252
RXF393	Camptothecin	0.1	-0.775119
SN12C	Camptothecin	0.1	-1.377338
TK10	Camptothecin	0.1	0.606507
U251	Camptothecin	0.1	-3.235664
SF539	Camptothecin	0.1	-3.708391
SF268	Camptothecin	0.1	-2.687051
OVCAR-4	Camptothecin	0.1	1.164653
OVCAR-8	Camptothecin	0.1	-3.046866
BxPC-3	Camptothecin	0.1	-1.452904
BHT-101	Camptothecin	0.1	-3.296968
Becker	Camptothecin	0.1	-2.705066
BE-13	Camptothecin	0.1	-3.502694
ARH-77	Camptothecin	0.1	-4.68342
AGS	Camptothecin	0.1	-3.266368
ABC-1	Camptothecin	0.1	-1.588587
A2058	Camptothecin	0.1	-3.757428
A375	Camptothecin	0.1	-4.517416
A253	Camptothecin	0.1	-2.78054
8305C	Camptothecin	0.1	-1.209881
647-V	Camptothecin	0.1	-4.410302
639-V	Camptothecin	0.1	-5.115998
697	Camptothecin	0.1	-5.004851
A2780	Camptothecin	0.1	-3.737636
COR-L105	Camptothecin	0.1	-0.263685
COR-L88	Camptothecin	0.1	-1.586349
COLO-792	Camptothecin	0.1	0.553206
COLO-680N	Camptothecin	0.1	0.31303
COLO-679	Camptothecin	0.1	-2.260701
CHP-212	Camptothecin	0.1	-3.85745
CFPAC-1	Camptothecin	0.1	-3.486215
Ca-Ski	Camptothecin	0.1	-3.320781
CAL-72	Camptothecin	0.1	-2.838601
CAL-62	Camptothecin	0.1	-4.06752
C32	Camptothecin	0.1	-3.015398
Daudi	Camptothecin	0.1	-3.69488
DB	Camptothecin	0.1	-4.506183
Daoy	Camptothecin	0.1	-4.484032
D-283MED	Camptothecin	0.1	-4.643568
DBTRG-05MG	Camptothecin	0.1	0.019731
DEL	Camptothecin	0.1	-5.358062
Detroit562	Camptothecin	0.1	-2.760316
DG-75	Camptothecin	0.1	-2.115168
DK-MG	Camptothecin	0.1	1.312427
DOHH-2	Camptothecin	0.1	-5.780752
DoTc2-4510	Camptothecin	0.1	-2.513168
EB2	Camptothecin	0.1	-4.683771
EB-3	Camptothecin	0.1	-2.658751
ECC10	Camptothecin	0.1	-2.953516
ECC12	Camptothecin	0.1	-1.707809
EFO-27	Camptothecin	0.1	-0.84306
EGI-1	Camptothecin	0.1	2.652026
EM-2	Camptothecin	0.1	-4.282016
EoL-1-cell	Camptothecin	0.1	-4.169704
ETK-1	Camptothecin	0.1	-1.191764
FADU	Camptothecin	0.1	-3.873749
FTC-133	Camptothecin	0.1	-3.359043
G-361	Camptothecin	0.1	-1.225834
GAMG	Camptothecin	0.1	-2.450669
GCIY	Camptothecin	0.1	-2.48859
GDM-1	Camptothecin	0.1	-4.409995
GI-1	Camptothecin	0.1	-3.628604
GI-ME-N	Camptothecin	0.1	-0.0167
GMS-10	Camptothecin	0.1	-4.526351
GOTO	Camptothecin	0.1	-3.266196
GR-ST	Camptothecin	0.1	-3.89463
GCT	Camptothecin	0.1	-2.959694
ESS-1	Camptothecin	0.1	-4.997052
H4	Camptothecin	0.1	-4.847862
H9	Camptothecin	0.1	-4.676639
HC-1	Camptothecin	0.1	-4.995086
HD-MY-Z	Camptothecin	0.1	1.063625
HEC-1	Camptothecin	0.1	0.758196
HEL	Camptothecin	0.1	-4.132766
HGC-27	Camptothecin	0.1	-1.7846
HH	Camptothecin	0.1	1.692486
HLE	Camptothecin	0.1	-3.792605
HMV-II	Camptothecin	0.1	-1.835925
HOS	Camptothecin	0.1	-3.017332
HSC-3	Camptothecin	0.1	-3.907213
HSC-4	Camptothecin	0.1	-3.195973
HT-1080	Camptothecin	0.1	-0.817971
HT-1197	Camptothecin	0.1	-0.916833
HT-1376	Camptothecin	0.1	2.60138
HT-144	Camptothecin	0.1	-1.859199
HT-3	Camptothecin	0.1	-3.520035
HuCCT1	Camptothecin	0.1	-1.779282
HuH-7	Camptothecin	0.1	1.764023
HuO9	Camptothecin	0.1	-4.610425
HuTu-80	Camptothecin	0.1	-3.547167
IGR-1	Camptothecin	0.1	-0.776289
IMR-5	Camptothecin	0.1	-4.393695
IST-MEL1	Camptothecin	0.1	-2.312575
IST-MES1	Camptothecin	0.1	-2.420773
JiyoyeP-2003	Camptothecin	0.1	-3.36021
JVM-2	Camptothecin	0.1	-4.935602
JVM-3	Camptothecin	0.1	-5.973858
KALS-1	Camptothecin	0.1	-0.198175
KARPAS-45	Camptothecin	0.1	-1.79544
KARPAS-299	Camptothecin	0.1	-3.480534
KARPAS-422	Camptothecin	0.1	-3.354039
KASUMI-1	Camptothecin	0.1	-2.237873
KATOIII	Camptothecin	0.1	1.644029
KE-37	Camptothecin	0.1	-4.84747
KG-1	Camptothecin	0.1	-3.441868
KINGS-1	Camptothecin	0.1	1.152322
KMOE-2	Camptothecin	0.1	-2.633582
KMS-12-BM	Camptothecin	0.1	-2.793419
HuP-T3	Camptothecin	0.1	-0.960316
HuP-T4	Camptothecin	0.1	-3.378933
H-EMC-SS	Camptothecin	0.1	-1.873206
DMS-53	Camptothecin	0.1	-3.324535
G-402	Camptothecin	0.1	-2.858603
G-401	Camptothecin	0.1	-3.444165
KY821	Camptothecin	0.1	-4.727499
KU812	Camptothecin	0.1	-3.721304
KU-19-19	Camptothecin	0.1	-3.671613
KS-1	Camptothecin	0.1	-0.966944
KP-N-YN	Camptothecin	0.1	-3.712882
KYSE-150	Camptothecin	0.1	-2.836104
KYSE-180	Camptothecin	0.1	-1.458124
KYSE-270	Camptothecin	0.1	-3.107823
KYSE-450	Camptothecin	0.1	-1.093072
KYSE-510	Camptothecin	0.1	-3.589482
L-428	Camptothecin	0.1	-3.402329
L-540	Camptothecin	0.1	-4.949094
LAMA-84	Camptothecin	0.1	-4.366763
LC4-1	Camptothecin	0.1	-4.801399
LNCaP-Clone-FGC	Camptothecin	0.1	-3.534387
LOUCY	Camptothecin	0.1	-2.351893
LP-1	Camptothecin	0.1	2.124949
LU-99A	Camptothecin	0.1	-1.392159
MDA-MB-175-VII	Camptothecin	0.1	-2.155252
MEL-JUSO	Camptothecin	0.1	0.292833
MEG-01	Camptothecin	0.1	-3.499339
MES-SA	Camptothecin	0.1	-2.734509
Mewo	Camptothecin	0.1	-0.301909
MFE-280	Camptothecin	0.1	-0.20899
MFE-296	Camptothecin	0.1	-1.393899
MG-63	Camptothecin	0.1	-3.082263
MHH-CALL-2	Camptothecin	0.1	-4.695121
MHH-ES-1	Camptothecin	0.1	-4.174901
MHH-PREB-1	Camptothecin	0.1	-2.319071
MKN1	Camptothecin	0.1	-0.870755
MKN28	Camptothecin	0.1	1.186429
ML-2	Camptothecin	0.1	-4.464037
MLMA	Camptothecin	0.1	-3.531439
MN-60	Camptothecin	0.1	-3.258943
MOG-G-CCM	Camptothecin	0.1	-0.646514
MOG-G-UVW	Camptothecin	0.1	-4.02278
MOLT-13	Camptothecin	0.1	-4.638019
MOLT-16	Camptothecin	0.1	-5.406316
MONO-MAC-6	Camptothecin	0.1	-4.079495
Mo-T	Camptothecin	0.1	-2.907553
MPP-89	Camptothecin	0.1	-1.778965
MSTO-211H	Camptothecin	0.1	-3.018823
MV-4-11	Camptothecin	0.1	-5.446414
NALM-6	Camptothecin	0.1	-4.962984
NAMALWA	Camptothecin	0.1	-5.064652
NB69	Camptothecin	0.1	-4.989476
NCCIT	Camptothecin	0.1	-0.939678
NCI-H520	Camptothecin	0.1	-0.815051
SNU-1	Camptothecin	0.1	-2.994779
SNU-5	Camptothecin	0.1	-4.842051
SNU-16	Camptothecin	0.1	-3.358669
NH-12	Camptothecin	0.1	-4.2433
NKM-1	Camptothecin	0.1	-4.486932
NOMO-1	Camptothecin	0.1	-3.832515
NTERA-2-cl-D1	Camptothecin	0.1	-3.995591
NUGC-3	Camptothecin	0.1	-3.946609
NCI-H596	Camptothecin	0.1	0.490403
NCI-H441	Camptothecin	0.1	-0.491825
NCI-N87	Camptothecin	0.1	-0.832855
NCI-H2452	Camptothecin	0.1	-0.962559
NCI-H1793	Camptothecin	0.1	-1.238479
NCI-H358	Camptothecin	0.1	-0.826978
NCI-H1155	Camptothecin	0.1	-4.554415
NCI-H28	Camptothecin	0.1	-0.413604
NCI-H1581	Camptothecin	0.1	-2.08122
NCI-H1573	Camptothecin	0.1	1.769308
NCI-H1666	Camptothecin	0.1	-1.869024
NCI-H1703	Camptothecin	0.1	-3.040055
NCI-H1755	Camptothecin	0.1	-0.642305
NCI-H1993	Camptothecin	0.1	-1.619025
NCI-H524	Camptothecin	0.1	-2.246462
ONS-76	Camptothecin	0.1	-1.696048
OPM-2	Camptothecin	0.1	-2.720962
OS-RC-2	Camptothecin	0.1	-0.447455
P12-ICHIKAWA	Camptothecin	0.1	-5.035286
P30-OHK	Camptothecin	0.1	-4.307305
P31-FUJ	Camptothecin	0.1	-3.798669
PA-1	Camptothecin	0.1	-3.836096
OC-314	Camptothecin	0.1	-4.030601
PF-382	Camptothecin	0.1	-4.327046
Raji	Camptothecin	0.1	-4.687502
RD	Camptothecin	0.1	-0.660889
REH	Camptothecin	0.1	-4.267182
RF-48	Camptothecin	0.1	-4.302873
RMG-I	Camptothecin	0.1	-0.141942
RPMI-6666	Camptothecin	0.1	-4.938467
RPMI-8402	Camptothecin	0.1	-5.308849
RS4-11	Camptothecin	0.1	-4.720065
RT-112	Camptothecin	0.1	-0.859388
Saos-2	Camptothecin	0.1	-2.897408
SAS	Camptothecin	0.1	-4.799467
SCC-9	Camptothecin	0.1	-0.594718
SH-4	Camptothecin	0.1	-2.065461
SJRH30	Camptothecin	0.1	-1.662694
SJSA-1	Camptothecin	0.1	-2.781912
SK-HEP-1	Camptothecin	0.1	-2.06362
SK-LMS-1	Camptothecin	0.1	-3.815215
SK-LU-1	Camptothecin	0.1	-3.25748
SKM-1	Camptothecin	0.1	-4.30607
SK-MEL-1	Camptothecin	0.1	-1.360977
SK-MEL-24	Camptothecin	0.1	-2.96794
SK-MES-1	Camptothecin	0.1	-2.863123
SK-MG-1	Camptothecin	0.1	-0.967639
SK-PN-DW	Camptothecin	0.1	-4.720396
SK-UT-1	Camptothecin	0.1	-3.332248
SNG-M	Camptothecin	0.1	-1.811575
SNU-387	Camptothecin	0.1	1.729927
SNU-423	Camptothecin	0.1	-1.914554
SNU-449	Camptothecin	0.1	0.600121
SUP-T1	Camptothecin	0.1	-4.73357
SW13	Camptothecin	0.1	-4.543639
SW1088	Camptothecin	0.1	-1.5951
SW1116	Camptothecin	0.1	-0.260577
SW1710	Camptothecin	0.1	-0.540361
SW1783	Camptothecin	0.1	-3.945857
SW626	Camptothecin	0.1	-0.608
SW684	Camptothecin	0.1	1.948338
SW872	Camptothecin	0.1	-3.816316
SW982	Camptothecin	0.1	-4.013152
TGBC1TKB	Camptothecin	0.1	-1.001839
TGBC11TKB	Camptothecin	0.1	-2.441686
TUR	Camptothecin	0.1	-3.466118
TYK-nu	Camptothecin	0.1	-3.611969
U-2-OS	Camptothecin	0.1	2.505317
U-698-M	Camptothecin	0.1	-3.222282
UMC-11	Camptothecin	0.1	0.673478
VM-CUB-1	Camptothecin	0.1	-4.608755
VMRC-RCZ	Camptothecin	0.1	1.579135
WM-115	Camptothecin	0.1	-2.062184
WSU-NHL	Camptothecin	0.1	-4.556851
YAPC	Camptothecin	0.1	-1.756217
YH-13	Camptothecin	0.1	-1.462977
RCC10RGB	Camptothecin	0.1	-0.795513
KURAMOCHI	Camptothecin	0.1	1.941764
KM-H2	Camptothecin	0.1	-3.229047
HuO-3N1	Camptothecin	0.1	-1.221927
OE19	Camptothecin	0.1	0.467733
Ramos-2G6-4C10	Camptothecin	0.1	-2.313078
RPMI-8866	Camptothecin	0.1	-4.218859
PSN1	Camptothecin	0.1	-3.132673
OAW-42	Camptothecin	0.1	-2.945254
OE33	Camptothecin	0.1	-3.361522
CGTH-W-1	Camptothecin	0.1	-2.589776
ATN-1	Camptothecin	0.1	-4.589586
CESS	Camptothecin	0.1	-5.125983
COLO-684	Camptothecin	0.1	-0.72598
COLO-668	Camptothecin	0.1	-3.479167
LN-405	Camptothecin	0.1	1.22754
TGBC24TKB	Camptothecin	0.1	0.600398
BFTC-909	Camptothecin	0.1	-2.50228
AsPC-1	Camptothecin	0.1	2.456639
CA46	Camptothecin	0.1	-2.396688
BALL-1	Camptothecin	0.1	-5.232356
BL-41	Camptothecin	0.1	-4.741333
BV-173	Camptothecin	0.1	-5.123835
IA-LM	Camptothecin	0.1	-1.842245
TGW	Camptothecin	0.1	-2.844717
AN3-CA	Camptothecin	0.1	0.42113
A204	Camptothecin	0.1	-1.720835
NY	Camptothecin	0.1	-3.42435
C3A	Camptothecin	0.1	-1.315164
A427	Camptothecin	0.1	-1.361741
CHL-1	Camptothecin	0.1	-1.397941
NCI-H1651	Camptothecin	0.1	-3.985139
RPMI-7951	Camptothecin	0.1	-3.926533
SCC-4	Camptothecin	0.1	-2.203023
ST486	Camptothecin	0.1	-3.65084
SW1990	Camptothecin	0.1	-0.811421
UACC-812	Camptothecin	0.1	-2.695748
SCC-15	Camptothecin	0.1	-2.885609
CAPAN-2	Camptothecin	0.1	2.557426
CAL-27	Camptothecin	0.1	-3.960514
BC-1	Camptothecin	0.1	-4.090036
A704	Camptothecin	0.1	-2.018433
A101D	Camptothecin	0.1	-2.864103
769-P	Camptothecin	0.1	-2.139694
23132-87	Camptothecin	0.1	-3.276945
BFTC-905	Camptothecin	0.1	-4.359769
SCC-3	Camptothecin	0.1	-5.36315
GAK	Camptothecin	0.1	-1.59026
AM-38	Camptothecin	0.1	-4.393419
A4-Fuk	Camptothecin	0.1	-4.339042
A3-KAW	Camptothecin	0.1	-5.542232
DOK	Camptothecin	0.1	-2.664041
COR-L279	Camptothecin	0.1	-4.713951
CHP-134	Camptothecin	0.1	-3.817771
NEC8	Camptothecin	0.1	-4.182789
CAS-1	Camptothecin	0.1	0.014211
ALL-PO	Camptothecin	0.1	-4.704681
OCI-AML2	Camptothecin	0.1	-4.906375
CML-T1	Camptothecin	0.1	-6.149429
CAL-54	Camptothecin	0.1	-3.557146
EFO-21	Camptothecin	0.1	0.796873
22RV1	Camptothecin	0.1	-3.142631
8505C	Camptothecin	0.1	-2.979316
B-CPAP	Camptothecin	0.1	-2.454797
BPH-1	Camptothecin	0.1	-3.865278
CAL-39	Camptothecin	0.1	-4.057077
HDLM-2	Camptothecin	0.1	-2.776792
HO-1-N-1	Camptothecin	0.1	-3.95466
HTC-C3	Camptothecin	0.1	-1.285001
KGN	Camptothecin	0.1	-4.209384
KLE	Camptothecin	0.1	1.086801
K5	Camptothecin	0.1	-2.508788
L-363	Camptothecin	0.1	-1.155349
NCI-H250	Camptothecin	0.1	1.576814
NCI-H1975	Camptothecin	0.1	-1.579555
MKN7	Camptothecin	0.1	0.256741
MKN45	Camptothecin	0.1	-2.556872
NCI-H810	Camptothecin	0.1	-2.456042
MFH-ino	Camptothecin	0.1	-2.441699
NOS-1	Camptothecin	0.1	0.587864
PANC-03-27	Camptothecin	0.1	-1.74251
PANC-08-13	Camptothecin	0.1	2.230087
PANC-10-05	Camptothecin	0.1	-1.674982
RL95-2	Camptothecin	0.1	-0.802766
RO82-W-1	Camptothecin	0.1	1.511513
SiHa	Camptothecin	0.1	0.618098
SKG-IIIa	Camptothecin	0.1	-1.880913
TT	Camptothecin	0.1	0.600664
TE-9	Camptothecin	0.1	-1.819749
TE-6	Camptothecin	0.1	0.756867
TE-12	Camptothecin	0.1	2.117589
TC-YIK	Camptothecin	0.1	-4.430529
YT	Camptothecin	0.1	-4.794935
OAW-28	Camptothecin	0.1	-2.225776
LCLC-97TM1	Camptothecin	0.1	-2.006454
D-263MG	Camptothecin	0.1	-2.236309
D-392MG	Camptothecin	0.1	-1.89255
Caov-4	Camptothecin	0.1	-2.803711
M059J	Camptothecin	0.1	-3.64519
HAL-01	Camptothecin	0.1	-4.924644
ES8	Camptothecin	0.1	-5.227331
ES4	Camptothecin	0.1	-3.753754
ES6	Camptothecin	0.1	-1.143252
ES1	Camptothecin	0.1	-4.633459
EW-7	Camptothecin	0.1	-4.2944
EW-3	Camptothecin	0.1	-5.376965
